iter	Passed	Remaining
0	0	83
1	1	96
2	3	105
3	4	99
4	5	98
5	6	97
6	7	101
7	9	103
8	10	105
9	11	105
10	13	105
11	14	106
12	15	105
13	16	101
14	17	99
15	18	98
16	19	96
17	20	95
18	21	92
19	23	92
20	24	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	83
26	30	81
27	31	80
28	32	79
29	33	77
30	34	75
31	34	74
32	35	72
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	69	23
75	70	22
76	71	21
77	71	20
78	72	19
79	73	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	79	8
90	80	7
91	81	7
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
